day,value
705,3049
706,3148
707,2194
708,1872
709,2054
710,448
711,459
712,2888
713,3026
714,2184
715,1768
716,1484
717,390
718,246
719,2411
720,2569
721,1681
722,1529
723,1377
724,412
725,262
726,2121
727,2419
728,1596
729,1483
730,1405
731,364
732,308
733,2210
734,2088
735,1894
736,1534
737,1472
738,399
739,335
740,2565
741,2543
742,1917
743,2319
744,1698
745,520
746,346
747,3101
748,3405
749,2800
750,2488
751,2265
752,949
753,557
754,3930
755,5331
756,3933
757,3533
758,3086
759,1078
760,633
761,1081
762,5683
763,7115
764,5959
765,4749
766,1394
767,776
768,6424
769,6320
770,4570
771,4364
772,3453
773,1282
774,674
775,5251
776,5188
777,3562
778,3022
779,2736
780,717
781,471
782,3391
783,3991
784,2508
785,2057
786,1641
787,522
788,314
789,496
790,2637
791,2758
792,1816
793,1315
794,360
795,228
796,1751
797,1803
798,1200
799,988
800,1092
801,285
802,197
803,1417
804,1418
805,268
806,1458
807,1236
808,295
809,214
810,1675
811,1650
812,1417
813,1191
814,1063
815,336
816,253
817,1829
818,2119
819,1448
820,1332
821,1245
822,346
823,320
824,1876
825,1952
826,1586
827,1441
828,1334
829,427
830,197
831,1730
832,1955
833,1458
834,1313
835,1134
836,397
837,196
838,1511
839,1686
840,1222
841,1025
842,822
843,246
844,190
845,192
846,1228
847,941
848,714
849,504
850,208
851,143
852,1020
853,1201
854,795
855,534
856,474
857,152
858,77
859,706
860,648
861,384
862,268
863,244
864,91
865,91
866,382
867,477
868,302
869,292
870,245
871,73
872,58
873,365
874,461
875,315
876,284
877,339
878,120
879,63
880,467
881,598
882,364
883,339
884,299
885,77
886,73
887,454
888,449
889,339
890,280
891,293
892,93
893,144
894,398
895,518
896,359
897,449
898,335
899,129
900,151
