day,value
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,2
13,0
14,0
15,3
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,2
31,1
32,0
33,0
34,2
35,0
36,3
37,1
38,3
39,2
40,6
41,5
42,4
43,5
44,2
45,8
46,7
47,3
48,5
49,9
50,4
51,3
52,12
53,6
54,6
55,13
56,12
57,12
58,13
59,11
60,6
61,17
62,11
63,21
64,10
65,18
66,15
67,7
68,11
69,15
70,11
71,15
72,12
73,9
74,7
75,9
76,15
77,8
78,11
79,16
80,12
81,6
82,20
83,16
84,12
85,21
86,20
87,18
88,12
89,16
90,16
91,20
92,25
93,20
94,29
95,16
96,24
97,23
98,32
99,19
100,23
101,13
102,13
103,33
104,18
105,29
106,24
107,28
108,17
109,15
110,24
111,24
112,16
113,17
114,11
115,12
116,10
117,18
118,15
119,13
120,10
121,6
122,6
123,11
124,11
125,19
126,23
127,16
128,8
129,9
130,2
131,8
132,16
133,13
134,15
135,8
136,9
137,7
138,11
139,14
140,15
141,10
142,8
143,7
144,8
145,9
146,14
147,10
148,7
149,8
150,7
151,7
152,13
153,12
154,8
155,8
156,6
157,6
158,3
159,4
160,12
161,6
162,9
163,10
164,10
165,6
166,16
167,9
168,9
169,9
170,10
171,12
172,12
173,11
174,24
175,21
176,25
177,22
178,8
179,11
180,15
181,13
182,22
183,20
184,26
185,16
186,12
187,20
188,16
189,29
190,24
191,26
192,17
193,19
194,28
195,46
196,40
197,39
198,39
199,27
200,16
201,39
202,28
203,30
204,42
205,51
206,38
207,17
208,21
209,38
210,17
211,28
212,22
213,15
214,16
215,16
216,14
217,27
218,36
219,23
220,28
221,10
222,22
223,36
224,40
225,30
226,36
227,27
228,25
229,33
230,55
231,57
232,48
233,39
234,30
235,23
236,38
237,45
238,56
239,34
240,35
241,23
242,22
243,25
244,47
245,37
246,18
247,18
248,20
249,16
250,23
251,28
252,17
253,16
254,8
255,10
256,4
257,10
258,13
259,14
260,7
261,10
262,8
263,2
264,6
265,9
266,14
267,9
268,5
269,6
270,5
271,8
272,2
273,8
274,2
275,4
276,1
277,2
278,1
279,4
280,3
281,3
282,0
283,1
284,1
285,0
286,2
287,1
288,0
289,0
290,1
291,0
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,1
303,0
304,1
305,0
306,1
307,0
308,1
309,0
310,2
311,3
312,1
313,3
314,2
315,0
316,1
317,5
318,0
319,0
320,2
321,2
322,0
323,0
324,4
325,1
326,0
327,1
328,1
329,1
330,0
331,0
332,0
333,0
334,0
335,1
336,1
337,3
338,0
339,0
340,1
341,1
342,3
343,3
344,1
345,2
346,3
347,1
348,4
349,3
350,2
351,1
352,3
353,7
354,1
355,4
356,5
357,5
358,2
359,2
360,5
361,2
362,6
363,14
364,9
365,4
366,7
367,7
368,1
369,3
370,4
371,7
372,10
373,6
374,2
375,5
376,6
377,9
378,6
379,5
380,10
381,7
382,3
383,7
384,8
385,8
386,7
387,7
388,3
389,4
390,5
391,22
392,13
393,11
394,12
395,10
396,6
397,5
398,14
399,13
400,8
401,14
402,13
403,7
404,13
405,14
406,18
407,14
408,20
409,21
410,9
411,9
412,24
413,25
414,31
415,26
416,32
417,20
418,30
419,42
420,45
421,51
422,39
423,38
424,28
425,37
426,62
427,57
428,62
429,78
430,53
431,42
432,99
433,105
434,137
435,109
436,138
437,106
438,53
439,104
440,157
441,109
442,142
443,200
444,147
445,89
446,136
447,201
448,187
449,203
450,173
451,124
452,84
453,147
454,206
455,210
456,158
457,197
458,97
459,82
460,150
461,236
462,167
463,185
464,162
465,131
466,46
467,110
468,174
469,133
470,114
471,120
472,87
473,53
474,82
475,124
476,91
477,76
478,56
479,24
480,25
481,52
482,81
483,56
484,45
485,44
486,17
487,24
488,63
489,76
490,50
491,31
492,54
493,47
494,29
495,72
496,82
497,79
498,76
499,95
500,69
501,56
502,91
503,135
504,142
505,114
506,111
507,87
508,52
509,123
510,169
511,183
512,156
513,138
514,93
515,49
516,127
517,234
518,224
519,177
520,191
521,164
522,109
523,199
524,352
525,301
526,225
527,234
528,165
529,108
530,267
531,338
532,275
533,241
534,272
535,127
536,109
537,255
538,317
539,304
540,252
541,219
542,168
543,117
544,228
545,386
546,330
547,277
548,297
549,214
550,128
551,293
552,529
553,485
554,430
555,351
556,281
557,138
558,381
559,455
560,452
561,432
562,324
563,222
564,153
565,346
566,442
567,364
568,336
569,226
570,139
571,81
572,280
573,358
574,230
575,168
576,134
577,75
578,28
579,169
580,236
581,184
582,136
583,103
584,72
585,28
586,144
587,176
588,102
589,84
590,43
591,22
592,20
593,26
594,114
595,83
596,57
597,38
598,14
599,13
600,65
601,63
602,42
