day,value
800,4
801,1
802,1
803,6
804,1
805,4
806,2
807,4
808,1
809,2
810,3
811,2
812,1
813,2
814,6
815,2
816,3
817,6
818,4
819,5
820,2
821,3
822,2
823,1
824,11
825,3
826,2
827,6
828,5
829,6
830,1
831,14
832,7
833,6
834,8
835,8
836,3
837,4
838,6
839,3
840,2
841,4
842,5
843,0
844,2
845,2
846,6
847,6
848,7
849,5
850,2
851,1
852,5
853,4
854,4
855,1
856,1
857,2
858,0
859,4
860,0
861,2
862,1
863,0
864,0
865,0
866,0
867,0
868,1
869,2
870,1
871,1
872,0
873,0
874,0
875,2
876,1
877,2
878,1
879,1
880,0
881,1
882,3
883,2
884,3
885,1
886,0
887,3
888,1
889,3
890,0
891,3
892,0
893,2
894,2
895,3
896,3
897,3
898,0
899,1
900,0
