day,value
800,0
801,2
802,0
803,2
804,1
805,1
806,0
807,1
808,0
809,2
810,2
811,2
812,2
813,1
814,2
815,1
816,0
817,3
818,1
819,2
820,2
821,3
822,3
823,0
824,3
825,1
826,1
827,4
828,3
829,0
830,0
831,3
832,5
833,0
834,1
835,2
836,1
837,0
838,4
839,3
840,2
841,1
842,3
843,1
844,0
845,0
846,1
847,2
848,4
849,2
850,0
851,0
852,2
853,4
854,1
855,1
856,0
857,1
858,1
859,1
860,3
861,0
862,0
863,0
864,0
865,0
866,0
867,1
868,1
869,1
870,0
871,0
872,1
873,0
874,0
875,0
876,2
877,0
878,0
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,0
890,0
891,0
892,0
893,0
894,2
895,0
896,1
897,1
898,0
899,0
900,0
