day,value
799,17
800,8
801,0
802,0
803,11
804,6
805,0
806,19
807,9
808,0
809,0
810,7
811,6
812,7
813,2
814,0
815,0
816,0
817,0
818,2
819,11
820,8
821,0
822,0
823,0
824,11
825,17
826,11
827,5
828,5
829,0
830,0
831,9
832,6
833,16
834,7
835,7
836,0
837,0
838,5
839,8
840,14
841,8
842,8
843,0
844,0
845,0
846,7
847,4
848,5
849,12
850,0
851,0
852,12
853,32
854,5
855,12
856,18
857,0
858,0
859,15
860,6
861,2
862,5
863,11
864,0
865,0
866,11
867,9
868,8
869,2
870,14
871,0
872,0
873,2
874,1
875,2
876,4
877,14
878,0
879,0
880,1
881,1
882,5
883,6
884,0
885,0
886,0
887,1
888,1
889,8
890,0
891,2
892,0
893,0
894,4
895,4
896,8
897,4
898,1
899,0
900,0
901,2
902,5
903,1
904,3
905,0
906,0
907,1
