day,value
709,1904
710,0
711,0
712,3029
713,3024
714,2952
715,2094
716,1447
717,0
718,0
719,2423
720,2608
721,2404
722,1413
723,1580
724,0
725,0
726,2215
727,2458
728,2034
729,1536
730,1566
731,0
732,0
733,2091
734,2232
735,2222
736,1656
737,1446
738,0
739,0
740,2222
741,3015
742,2291
743,1918
744,2013
745,0
746,0
747,2910
748,3428
749,2966
750,2737
751,2342
752,0
753,0
754,3707
755,4572
756,5445
757,3897
758,3200
759,0
760,0
761,0
762,5593
763,5632
764,8099
765,4869
766,0
767,0
768,6916
769,7520
770,6078
771,4644
772,3377
773,0
774,0
775,6179
776,4709
777,5442
778,3611
779,2972
780,0
781,0
782,4045
783,4085
784,3451
785,2276
786,1944
787,0
788,0
789,0
790,2963
791,2952
792,2478
793,1697
794,0
795,0
796,1922
797,1819
798,1653
799,1095
800,1136
801,0
802,0
803,1384
804,1501
805,0
806,1649
807,1281
808,0
809,0
810,1541
811,1558
812,1463
813,1322
814,1037
815,0
816,0
817,1614
818,2149
819,1612
820,1372
821,971
822,0
823,0
824,2040
825,1711
826,1854
827,1663
828,1317
829,0
830,0
831,1779
832,1686
833,1749
834,1599
835,2273
836,0
837,1
838,2588
839,1997
840,1590
841,1072
842,920
843,0
844,0
845,0
846,1318
847,1304
848,805
849,617
850,0
851,0
852,1114
853,1117
854,1197
855,649
856,517
857,0
858,0
859,863
860,704
861,555
862,335
863,254
864,0
865,0
866,450
867,469
868,369
869,337
870,262
871,0
872,0
873,337
874,419
875,418
876,344
877,328
878,0
879,0
880,452
881,572
882,525
883,342
884,341
885,0
886,0
887,471
888,507
889,365
890,341
891,281
892,0
893,0
894,510
895,522
896,488
897,390
898,413
899,0
900,0
901,486
902,638
903,846
904,395
905,0
906,0
907,644
