day,value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,3
60,0
61,0
62,0
63,0
64,0
65,2
66,0
67,0
68,2
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,4
77,1
78,1
79,1
80,1
81,0
82,2
83,0
84,5
85,3
86,4
87,1
88,1
89,3
90,5
91,2
92,2
93,4
94,0
95,1
96,0
97,1
98,4
99,2
100,5
101,3
102,2
103,6
104,3
105,0
106,6
107,1
108,2
109,2
110,2
111,1
112,7
113,3
114,2
115,3
116,1
117,3
118,3
119,3
120,3
121,3
122,3
123,2
124,2
125,4
126,3
127,2
128,3
129,1
130,2
131,1
132,3
133,1
134,2
135,3
136,1
137,0
138,2
139,0
140,0
141,2
142,1
143,2
144,0
145,1
146,1
147,0
148,2
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,2
160,1
161,2
162,0
163,0
164,0
165,0
166,0
167,2
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,2
178,1
179,0
180,1
181,0
182,1
183,2
184,0
185,2
186,0
187,1
188,1
189,2
190,1
191,0
192,1
193,1
194,3
195,1
196,2
197,1
198,2
199,3
200,1
201,2
202,1
203,1
204,5
205,1
206,3
207,1
208,0
209,1
210,1
211,0
212,3
213,2
214,1
215,0
216,1
217,4
218,2
219,3
220,3
221,1
222,0
223,1
224,2
225,4
226,1
227,2
228,0
229,1
230,0
231,2
232,1
233,1
234,2
235,3
236,0
237,2
238,2
239,0
240,1
241,1
242,2
243,1
244,2
245,2
246,0
247,0
248,2
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,1
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
