day,value
1,9
2,5
3,10
4,6
5,11
6,15
7,9
8,16
9,9
10,18
11,10
12,25
13,11
14,14
15,27
16,17
17,13
18,18
19,22
20,14
21,21
22,16
23,14
24,30
25,16
26,22
27,15
28,28
29,33
30,47
31,51
32,27
33,61
34,64
35,72
36,88
37,75
38,95
39,66
40,97
41,121
42,137
43,131
44,179
45,198
46,145
47,186
48,268
49,275
50,295
51,290
52,272
53,256
54,366
55,428
56,443
57,438
58,418
59,375
60,315
61,565
62,483
63,510
64,451
65,455
66,369
67,322
68,535
69,550
70,469
71,530
72,560
73,474
74,370
75,644
76,707
77,550
78,728
79,714
80,493
81,450
82,736
83,710
84,747
85,783
86,797
87,708
88,525
89,989
90,873
91,915
92,1020
93,1067
94,867
95,751
96,1165
97,1221
98,1234
99,1273
100,1177
101,1154
102,838
103,1253
104,1205
105,1276
106,1254
107,1125
108,949
109,892
110,1105
111,1222
112,1202
113,859
114,578
115,729
116,703
117,983
118,1033
119,1049
120,688
121,529
122,630
123,596
124,854
125,975
126,898
127,707
128,690
129,479
130,372
131,551
132,615
133,614
134,528
135,502
136,409
137,288
138,461
139,505
140,418
141,347
142,361
143,309
144,265
145,277
146,394
147,321
148,266
149,256
150,265
151,182
152,199
153,241
154,229
155,197
156,230
157,168
158,134
159,182
160,203
161,205
162,162
163,160
164,129
165,129
166,191
167,243
168,209
169,165
170,229
171,199
172,137
173,234
174,270
175,206
176,225
177,255
178,211
179,161
180,253
181,266
182,269
183,236
184,265
185,271
186,187
187,267
188,352
189,336
190,351
191,356
192,316
193,288
194,389
195,432
196,460
197,470
198,447
199,459
200,336
201,498
202,599
203,585
204,592
205,603
206,516
207,400
208,554
209,607
210,584
211,594
212,476
213,418
214,456
215,412
216,567
217,681
218,710
219,610
220,567
221,427
222,594
223,677
224,573
225,466
226,534
227,494
228,399
229,541
230,700
231,659
232,556
233,626
234,548
235,433
236,597
237,643
238,613
239,513
240,576
241,442
242,416
243,443
244,534
245,471
246,387
247,396
248,354
249,248
250,282
251,388
252,354
253,245
254,223
255,231
256,152
257,214
258,255
259,173
260,127
261,122
262,120
263,71
264,77
265,111
266,89
267,86
268,75
269,75
270,46
271,49
272,66
273,45
274,41
275,39
276,48
277,16
278,26
279,33
280,28
281,16
282,22
283,10
284,8
285,18
286,11
287,8
288,7
289,10
290,9
291,6
292,9
293,9
294,4
295,4
296,3
297,4
298,5
299,6
300,5
301,7
302,1
303,2
304,2
305,2
306,5
307,9
308,7
309,8
310,4
311,2
312,8
313,7
314,11
315,8
316,4
317,6
318,5
319,4
320,14
321,15
322,11
323,15
324,16
325,8
326,9
327,14
328,22
329,19
330,17
331,13
332,15
333,11
334,15
335,21
336,16
337,19
338,23
339,24
340,16
341,25
342,35
343,31
344,31
345,35
346,36
347,25
348,37
349,40
350,25
351,37
352,38
353,40
354,40
355,47
356,45
357,47
358,43
359,42
360,61
361,42
362,61
363,95
364,74
365,72
366,77
367,77
368,58
369,96
370,136
371,106
372,91
373,97
374,66
375,56
376,99
377,105
378,93
379,81
380,100
381,82
382,60
383,86
384,127
385,105
386,100
387,120
388,117
389,107
390,160
391,228
392,191
393,174
394,175
395,157
396,166
397,229
398,238
399,228
400,211
401,218
402,238
403,219
404,309
405,313
406,362
407,336
408,408
409,417
410,341
411,506
412,555
413,597
414,607
415,642
416,649
417,465
418,736
419,861
420,841
421,837
422,890
423,924
424,785
425,1066
426,1418
427,1318
428,1220
429,1286
430,1229
431,1097
432,1664
433,2161
434,2140
435,2120
436,2295
437,2013
438,1344
439,2406
440,3383
441,2472
442,2977
443,3722
444,2654
445,1699
446,3318
447,3953
448,3830
449,3512
450,3157
451,2447
452,1906
453,3083
454,3975
455,4020
456,3182
457,3205
458,2143
459,1691
460,2514
461,3317
462,2739
463,2619
464,2302
465,1771
466,947
467,1647
468,2554
469,1882
470,1635
471,1591
472,1180
473,725
474,1098
475,1838
476,1218
477,977
478,864
479,426
480,521
481,1023
482,1373
483,959
484,873
485,763
486,433
487,403
488,804
489,1067
490,655
491,575
492,525
493,450
494,241
495,553
496,696
497,649
498,565
499,677
500,580
501,453
502,823
503,1213
504,1010
505,1009
506,1071
507,812
508,666
509,1391
510,2014
511,1832
512,1783
513,1874
514,1399
515,918
516,2092
517,3168
518,2693
519,2657
520,2609
521,2016
522,1565
523,2800
524,4314
525,3631
526,3290
527,3139
528,2324
529,1671
530,3644
531,4590
532,3892
533,3399
534,3509
535,2655
536,1766
537,3617
538,4389
539,4445
540,3690
541,3117
542,2374
543,1511
544,3443
545,4923
546,4174
547,3658
548,3387
549,2477
550,1375
551,3836
552,6163
553,5715
554,5287
555,5122
556,3817
557,2137
558,5988
559,7071
560,7174
561,7498
562,6577
563,3823
564,1938
565,6352
566,7994
567,6750
568,6251
569,4988
570,2708
571,1448
572,4785
573,6045
574,4672
575,4055
576,2960
577,1638
578,718
579,3305
580,4229
581,3050
582,2703
583,2325
584,1340
585,682
586,2537
587,3378
588,2118
589,2017
590,716
591,581
592,508
593,542
594,2960
595,3024
596,2131
597,1550
598,484
599,354
600,2138
601,2368
602,1416
603,1229
604,1088
605,251
606,205
607,1513
608,1665
609,1054
610,1034
611,849
612,254
613,132
614,1081
615,1067
616,917
617,680
618,555
619,189
620,125
621,642
622,721
623,478
624,387
625,387
626,84
627,74
628,473
629,490
630,302
631,97
632,286
633,94
634,110
635,636
636,681
637,421
638,375
639,348
640,153
641,78
642,131
643,833
644,961
645,704
646,551
647,177
648,180
649,1072
650,1114
651,815
652,803
653,711
654,238
655,201
656,1095
657,1457
658,1097
659,1057
660,941
661,275
662,229
663,1521
664,1820
665,1470
666,1416
667,1016
668,245
669,181
670,1719
671,2040
672,1504
673,1220
674,1229
675,328
676,267
677,1822
678,2357
679,1767
680,1484
681,1924
682,380
683,286
684,2191
685,2739
686,2077
687,1631
688,1505
689,384
690,239
691,2139
692,2180
693,1632
694,1231
695,987
696,212
697,111
698,1590
699,1797
700,1122
701,891
702,831
703,268
704,147
705,1335
706,1404
707,930
708,774
709,862
710,189
711,195
712,1266
713,1433
714,943
715,741
716,631
717,146
718,113
719,1037
720,1191
721,718
722,600
723,566
724,173
725,102
726,919
727,1081
728,675
729,587
730,602
731,130
732,124
733,899
734,900
735,761
736,612
737,608
738,145
739,132
740,1121
741,1142
742,759
743,1003
744,697
745,224
746,140
747,1336
748,1540
749,1189
750,1074
751,965
752,417
