day,value
1,4
2,4
3,4
4,7
5,7
6,10
7,6
8,17
9,12
10,12
11,9
12,11
13,8
14,20
15,14
16,15
17,13
18,10
19,12
20,16
21,9
22,13
23,14
24,15
25,6
26,20
27,25
28,22
29,28
30,24
31,25
32,20
33,36
34,20
35,33
36,41
37,32
38,36
39,22
40,49
41,64
42,64
43,93
44,93
45,98
46,46
47,97
48,149
49,122
50,147
51,155
52,150
53,103
54,199
55,221
56,257
57,257
58,222
59,170
60,162
61,306
62,246
63,272
64,257
65,220
66,128
67,154
68,234
69,268
70,246
71,264
72,271
73,207
74,177
75,284
76,322
77,234
78,388
79,327
80,238
81,199
82,329
83,294
84,299
85,358
86,409
87,285
88,233
89,411
90,396
91,503
92,492
93,500
94,347
95,343
96,501
97,497
98,554
99,643
100,586
101,566
102,389
103,586
104,625
105,632
106,668
107,601
108,444
109,512
110,613
111,672
112,705
113,548
114,324
115,382
116,396
117,506
118,567
119,537
120,382
121,294
122,283
123,289
124,403
125,498
126,508
127,440
128,416
129,226
130,147
131,294
132,391
133,346
134,309
135,252
136,208
137,133
138,213
139,300
140,254
141,200
142,219
143,165
144,117
145,163
146,191
147,175
148,138
149,149
150,127
151,88
152,152
153,181
154,136
155,114
156,119
157,81
158,61
159,71
160,116
161,108
162,101
163,98
164,71
165,57
166,94
167,132
168,113
169,98
170,109
171,81
172,59
173,93
174,98
175,135
176,105
177,111
178,78
179,56
180,100
181,131
182,115
183,114
184,113
185,108
186,86
187,142
188,150
189,157
190,146
191,156
192,149
193,112
194,158
195,203
196,190
197,215
198,209
199,176
200,133
201,227
202,268
203,215
204,238
205,231
206,183
207,167
208,205
209,248
210,259
211,297
212,228
213,180
214,208
215,198
216,237
217,311
218,358
219,300
220,272
221,171
222,282
223,324
224,300
225,257
226,267
227,220
228,168
229,248
230,322
231,300
232,277
233,268
234,224
235,153
236,237
237,251
238,241
239,221
240,239
241,203
242,152
243,212
244,235
245,238
246,168
247,174
248,132
249,99
250,105
251,153
252,162
253,113
254,89
255,102
256,65
257,80
258,122
259,99
260,84
261,59
262,56
263,23
264,27
265,42
266,55
267,44
268,42
269,42
270,20
271,29
272,34
273,20
274,20
275,23
276,17
277,7
278,15
279,20
280,10
281,12
282,5
283,6
284,8
285,4
286,6
287,5
288,1
289,3
290,4
291,0
292,1
293,2
294,3
295,0
296,1
297,1
298,2
299,4
300,3
301,2
302,2
303,1
304,1
305,0
306,1
307,0
308,7
309,2
310,2
311,2
312,4
313,0
314,3
315,3
316,0
317,4
318,3
319,2
320,7
321,2
322,4
323,4
324,7
325,1
326,4
327,5
328,8
329,3
330,8
331,4
332,3
333,2
334,5
335,2
336,4
337,5
338,8
339,4
340,5
341,10
342,10
343,9
344,7
345,17
346,10
347,6
348,6
349,12
350,16
351,8
352,16
353,10
354,5
355,16
356,17
357,7
358,10
359,12
360,9
361,10
362,10
363,26
364,17
365,23
366,17
367,21
368,18
369,24
370,31
371,40
372,28
373,27
