day,value
779,40
780,23
781,7
782,73
783,65
784,44
785,40
786,30
787,12
788,9
789,19
790,83
791,83
792,51
793,29
794,14
795,9
796,69
797,81
798,58
799,44
800,45
801,4
802,9
803,81
804,69
805,12
806,72
807,46
808,12
809,6
810,81
811,79
812,77
813,54
814,42
815,19
816,12
817,82
818,84
819,55
820,44
821,37
822,16
823,11
824,58
825,44
826,39
827,26
828,31
829,9
830,5
831,24
832,28
833,20
834,20
835,16
836,6
837,0
838,20
839,18
840,12
841,13
842,5
843,2
844,0
845,3
846,12
847,9
848,5
849,6
850,7
851,2
852,7
853,18
854,6
855,5
856,8
857,4
858,1
859,14
860,17
861,9
862,9
863,7
864,2
865,3
866,16
867,16
868,7
869,10
870,10
871,5
872,0
873,17
874,20
875,12
876,11
877,10
878,8
879,4
880,21
881,23
882,15
883,13
884,7
885,0
886,1
887,15
888,12
889,12
890,7
891,6
892,0
893,2
894,9
895,9
896,4
897,5
898,5
899,4
900,1
