day,value
72,198
78,145
86,380
96,858
101,930
177,136
184,248
191,401
198,662
205,896
226,698
233,1331
240,1136
247,760
253,597
261,456
268,375
275,271
282,190
289,119
296,97
303,73
310,43
317,28
324,25
373,197
380,438
387,523
394,699
401,981
408,1236
429,1506
436,6085
443,12301
450,15083
457,14021
464,11902
471,9968
492,1572
499,2656
506,4108
513,7983
520,12429
527,14986
548,4078
555,11649
562,20620
569,21740
577,12916
583,8054
590,5232
