day,value
1,11
2,10
3,4
4,7
5,11
6,15
7,16
8,20
9,17
10,10
11,7
12,20
13,15
14,20
15,10
16,15
17,16
18,10
19,13
20,18
21,17
22,33
23,17
24,15
25,14
26,14
27,25
28,25
29,15
30,39
31,29
32,21
33,47
34,56
35,56
36,60
37,60
38,60
39,37
40,62
41,87
42,101
43,102
44,94
45,80
46,60
47,102
48,151
49,130
50,153
51,140
52,149
53,108
54,195
55,199
56,261
57,206
58,226
59,163
60,132
61,270
62,218
63,255
64,234
65,214
66,165
67,170
68,276
69,248
70,254
71,265
72,285
73,225
74,171
75,329
76,318
77,288
78,346
79,324
80,271
81,223
82,369
83,387
84,399
85,404
86,415
87,368
88,273
89,553
90,453
91,468
92,501
93,520
94,405
95,367
96,581
97,575
98,627
99,633
100,529
101,570
102,347
103,567
104,508
105,609
106,608
107,622
108,422
109,368
110,534
111,572
112,499
113,428
114,286
115,383
116,376
117,522
118,522
119,508
120,414
121,274
122,348
123,341
124,461
125,549
126,476
127,406
128,379
129,278
130,192
131,310
132,357
133,283
134,270
135,244
136,193
137,162
138,222
139,237
140,225
141,195
142,171
143,117
144,120
145,145
146,180
147,162
148,123
149,135
150,120
151,85
152,119
153,124
154,146
155,111
156,117
157,91
158,62
159,79
160,127
161,91
162,87
163,83
164,83
165,55
166,115
167,115
168,117
169,114
170,101
171,92
172,77
173,123
174,145
175,104
176,143
177,112
178,104
179,102
180,119
181,146
182,130
183,117
184,137
185,116
186,96
187,140
188,174
189,203
190,182
191,216
192,149
193,124
194,224
195,245
196,271
197,258
198,264
199,253
200,195
201,298
202,326
203,322
204,310
205,289
206,262
207,211
208,279
209,343
210,353
211,326
212,255
213,247
214,231
215,248
216,316
217,414
218,447
219,369
220,295
221,261
222,393
223,440
224,400
225,341
226,338
227,323
228,251
229,328
230,409
231,397
232,347
233,370
234,313
235,212
236,334
237,376
238,305
239,285
240,318
241,267
242,215
243,249
244,292
245,287
246,230
247,222
248,171
249,127
250,192
251,234
252,209
253,116
254,126
255,133
256,93
257,133
258,150
259,112
260,101
261,70
262,73
263,51
264,53
265,84
266,97
267,68
268,63
269,44
270,29
271,44
272,41
273,29
274,16
275,17
276,30
277,17
278,23
279,30
280,21
281,17
282,15
283,7
284,9
285,7
286,5
287,7
288,4
289,7
290,6
291,6
292,5
293,9
294,4
295,12
296,6
297,6
298,6
299,7
300,8
301,6
302,2
303,3
304,4
305,6
306,4
307,9
308,9
309,3
310,9
311,5
312,3
313,13
314,10
315,9
316,9
317,8
318,12
319,13
320,16
321,24
322,19
323,16
324,24
325,20
326,17
327,19
328,19
329,24
330,14
331,16
332,13
333,15
334,32
335,29
336,25
337,32
338,26
339,25
340,21
341,31
342,66
343,47
344,55
345,53
346,43
347,23
348,57
349,57
350,50
351,39
352,57
353,45
354,36
355,52
356,53
357,53
358,47
359,64
360,63
361,40
362,98
363,78
364,85
365,83
366,84
367,70
368,52
369,85
370,87
371,98
372,76
373,76
374,78
375,43
376,88
377,87
378,76
379,69
380,67
381,40
382,46
383,76
384,103
385,88
386,86
387,89
388,84
389,78
390,137
391,148
392,138
393,113
394,116
395,122
396,119
397,140
398,187
399,197
400,150
401,175
402,173
403,111
404,195
405,216
406,224
407,219
408,212
409,302
410,192
411,290
412,393
413,445
414,398
415,378
416,371
417,306
418,437
419,543
420,587
421,481
422,556
423,543
424,495
425,761
426,940
427,916
428,842
429,867
430,771
431,628
432,1041
433,1329
434,1431
435,1267
436,1449
437,1189
438,726
439,1412
440,1837
441,1375
442,1677
443,2116
444,1465
445,946
446,1835
447,2153
448,2215
449,2010
450,1805
451,1476
452,1041
453,1772
454,2161
455,2119
456,1742
457,1785
458,1197
459,922
460,1429
461,1919
462,1565
463,1427
464,1352
465,1012
466,500
467,938
468,1469
469,1114
470,1017
471,912
472,704
473,361
474,638
475,1063
476,712
477,661
478,510
479,259
480,286
481,631
482,784
483,622
484,602
485,523
486,354
487,307
488,721
489,907
490,712
491,566
492,498
493,419
494,260
495,484
496,636
497,567
498,477
499,550
500,402
501,348
502,623
503,918
504,839
505,787
506,849
507,604
508,460
509,1016
510,1325
511,1375
512,1212
513,1300
514,999
515,652
516,1453
517,2174
518,2063
