day,value
800,88
801,19
802,27
803,109
804,90
805,27
806,91
807,86
808,25
809,29
810,123
811,116
812,114
813,95
814,94
815,28
816,25
817,160
818,153
819,75
820,93
821,124
822,30
823,28
824,189
825,118
826,130
827,109
828,123
829,59
830,35
831,181
832,160
833,125
834,139
835,99
836,50
837,51
838,157
839,149
840,143
841,126
842,97
843,31
844,44
845,44
846,157
847,114
848,88
849,68
850,33
851,34
852,138
853,109
854,84
855,68
856,53
857,22
858,12
859,96
860,50
861,50
862,35
863,34
864,14
865,19
866,42
867,41
868,34
869,30
870,22
871,9
872,4
873,26
874,37
875,23
876,28
877,36
878,11
879,12
880,44
881,36
882,36
883,17
884,34
885,8
886,8
887,50
888,30
889,38
890,25
891,28
892,14
893,34
894,51
895,41
896,41
897,56
898,42
899,16
900,25
